t_bin,t_centre_sec,non_failure_event_rate
1680,1511550,1
1681,1512450,0.923076923
1682,1513350,0.923076923
1683,1514250,0.8
1684,1515150,0.923076923
1685,1516050,0.95
1686,1516950,0.894736842
1687,1517850,1
1688,1518750,1
1689,1519650,0.833333333
1690,1520550,0.866666667
1691,1521450,0.9
1692,1522350,1
1693,1523250,1
1694,1524150,1
1695,1525050,1
1696,1525950,1
1697,1526850,0.923076923
1698,1527750,0.8
1699,1528650,0.777777778
1700,1529550,1
1701,1530450,0.875
1702,1531350,1
1703,1532250,1
1704,1533150,0.25
1705,1534050,0.5
1706,1534950,0.9
1707,1535850,0.75
1708,1536750,0.875
1709,1537650,0.454545455
1710,1538550,0.4
1711,1539450,1
1712,1540350,1
1713,1541250,1
1714,1542150,1
1715,1543050,1
1716,1543950,1
1717,1544850,1
1718,1545750,1
1719,1546650,1
1720,1547550,1
1721,1548450,1
