t_bin,t_centre_sec,non_failure_event_rate,completion_rate
1709,1537650,0.454545455,0.333333333
1710,1538550,0.4,0
1711,1539450,1,1
1712,1540350,1,1
1713,1541250,1,1
1714,1542150,1,1
1715,1543050,1,1
1716,1543950,1,1
1717,1544850,1,1
1718,1545750,1,1
1719,1546650,1,1
1720,1547550,1,1
1721,1548450,1,1
1722,1549350,1,1
1723,1550250,1,1
1724,1551150,0.857142857,0.833333333
1725,1552050,0.333333333,0
1726,1552950,0.8,0.75
1727,1553850,0.333333333,0
1728,1554750,0.625,0.4
1729,1555650,1,1
1730,1556550,0.818181818,0.777777778
1731,1557450,,
1732,1558350,0.555555556,0.2
1733,1559250,0.444444444,0.090909091
1734,1560150,0.444444444,0.166666667
1735,1561050,0.75,0.6
1736,1561950,1,
1737,1562850,1,1
1738,1563750,0.833333333,0.777777778
1739,1564650,0.6,0.5
1740,1565550,0.857142857,0.833333333
1741,1566450,0,1
1742,1567350,0.818181818,0.818181818
1743,1568250,0.833333333,1
1744,1569150,0.857142857,0.666666667
1745,1570050,1,1
1746,1570950,1,1
1747,1571850,1,1
1748,1572750,0.888888889,0.888888889
1749,1573650,1,1
1750,1574550,1,1
1751,1575450,1,1
1752,1576350,1,0.8
