t_bin,t_centre_sec,cpu_per_machine,active_machines
1699,1528650,0.005191379,9
1700,1529550,0.001163483,3
1701,1530450,0.001336813,8
1702,1531350,0,1
1703,1532250,0,1
1704,1533150,0.005992889,4
1705,1534050,0.000984192,2
1706,1534950,0.001593018,10
1707,1535850,0.006420732,8
1708,1536750,0.00111866,8
1709,1537650,0.001033783,11
1710,1538550,0.001316309,4
1711,1539450,0.000939736,13
1712,1540350,0,3
1713,1541250,0,4
1714,1542150,0,2
1715,1543050,0,1
1716,1543950,0,2
1717,1544850,0.000282288,5
1718,1545750,0.001968384,1
1719,1546650,0.000788371,3
1720,1547550,0,2
1721,1548450,0,3
1722,1549350,0,2
1723,1550250,0.000872612,4
1724,1551150,0.001527786,14
1725,1552050,0.001008352,3
1726,1552950,0.003877852,9
1727,1553850,0.000783285,3
1728,1554750,0.00087738,8
1729,1555650,0.000872612,4
1730,1556550,0.001468485,11
1731,1557450,,
1732,1558350,0.001053704,9
1733,1559250,0.001196861,16
1734,1560150,0.000958851,7
1735,1561050,0.001442194,8
1736,1561950,0,3
1737,1562850,0.000623067,3
1738,1563750,0.001763257,11
1739,1564650,0.001485443,5
1740,1565550,0.001527786,7
1741,1566450,0.001968384,1
1742,1567350,0.00660012,11
1743,1568250,0.001120885,6
